"average_ticket_price","total_seats","no_screens","cityAhmedabad","cityBangalore","cityChennai","cityDelhi","cityHyderabad","cityKochi","cityKolkata","cityMumbai","typeMultiplex","typeSingle.Screen","theatre_chainAsian","theatre_chainCinemax","theatre_chainFun.Cinemas","theatre_chainInox","theatre_chainMiraj.Cinema","theatre_chainMovietime","theatre_chainPVR","theatre_chainRajhans","theatre_chainRegional"
176.2777778,637,"Three",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
150.4583333,372,"Three",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
167.8217593,1404,"Seven",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
154.3333333,1102,"Four",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
124.2296296,1080,"Four",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
176.4583333,372,"Four",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
166.1531987,1400,"Five",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
133.3333333,350,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
180.3571429,985,"Three",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
160,100,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
160,120,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150,874,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
111.5,1150,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
806.2962963,144,"Three",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
285.3444444,2714,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
697.025,1,"Four",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
257.2,932,"Five",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,650,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
104,1078,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
110,725,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
138.3333333,531,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
195.8333333,1155,"Five",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
142.3333333,935,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
80,178,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
104,877,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
90,300,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,363,"One",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
94.6,364,"One",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
59,83,"One",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,805,"One",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1008,"One",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
175,950,"One",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150,229,"One",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
227.5,800,"Three",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
198.1111111,643,"Three",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
228.5714286,809,"Three",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
168.3928571,788,"Three",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
200.9621212,1226,"Six",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
431.7234848,1139,"Seven",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
170.6018519,1000,"Four",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
446.3415179,1116,"Six",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
202.2619048,921,"Three",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
113.3333333,576,"One",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
133.3333333,980,"One",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,774,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,64,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
125,1512,"Five",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
85,707,"One",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
162.5,1143,"Three",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
90,520,"One",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
88.81481481,2403,"Four",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
80,528,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
118,1200,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70,704,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
80,112,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
200,1034,"Three",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
90,812,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
80,552,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
55,2009,"Two",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100,645,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,659,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,319,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,590,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70,313,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
69.5,1148,"Three",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,697,"One",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
110,2141,"Three",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
114,530,"One",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
250,30,"One",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
200,32,"One",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
178.2,710,"Two",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
80,733,"One",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
231.1720833,1015,"Four",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
80,1146,"One",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
110.1333333,983,"One",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
252.310119,904,"Five",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
181.25,252,"One",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
